Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2021-01-01 00:00:00,NA,0.96,2.40,22.60,23.96,0.10,6.99,0.69,119.24,NA,NA,NA,NA,NA,NA,NA,73.49,0.49,199.37,NA,NA,112.55,853.58,0.04
2021-01-02 00:00:00,NA,NA,2.46,19.32,16.47,0.08,6.99,0.83,103.92,NA,NA,NA,NA,NA,NA,NA,84.55,0.47,196.78,NA,NA,76.82,855.93,0.03
2021-01-03 00:00:00,NA,2.41,2.34,13.52,8.61,0.07,7.01,0.82,92.54,NA,NA,NA,NA,NA,NA,NA,83.18,0.66,188.16,NA,NA,85.37,830.71,0.04
2021-01-04 00:00:00,NA,2.29,2.37,12.75,10.88,0.04,6.97,0.88,70.28,NA,NA,NA,NA,NA,NA,NA,91.73,0.44,194.57,NA,NA,57.70,844.39,0.09
2021-01-05 00:00:00,19.12,12.23,2.30,4.40,6.70,NA,6.98,0.87,56.85,NA,NA,NA,NA,NA,NA,NA,84.08,0.49,192.30,NA,NA,94.36,832.05,0.04
2021-01-06 00:00:00,17.43,20.43,2.63,18.20,14.92,0.07,7.01,0.90,34.34,NA,NA,NA,NA,NA,NA,NA,91.23,0.57,189.20,NA,NA,69.86,833.61,0.09
2021-01-07 00:00:00,18.05,20.56,2.51,15.27,14.67,0.04,7.01,0.84,26.73,NA,NA,NA,NA,NA,NA,NA,91.10,0.55,185.78,NA,NA,78.51,832.27,0.13
2021-01-08 00:00:00,18.00,19.90,2.30,14.72,12.09,0.04,7.01,0.93,31.78,NA,NA,NA,NA,NA,NA,NA,87.45,0.68,181.03,NA,NA,87.50,832.10,0.11
2021-01-09 00:00:00,17.96,20.46,2.30,11.60,8.76,0.04,6.99,0.64,27.69,NA,NA,NA,NA,NA,NA,NA,93.33,0.55,188.62,NA,NA,45.89,849.15,0.15
2021-01-10 00:00:00,17.98,22.15,2.45,18.11,13.85,0.08,6.99,0.84,39.52,NA,NA,NA,NA,NA,NA,NA,83.08,0.53,186.67,NA,NA,97.84,839.16,0.07
2021-01-11 00:00:00,18.02,20.37,3.90,23.86,20.46,0.18,7.01,0.79,33.62,NA,NA,NA,NA,NA,NA,NA,82.58,0.45,221.93,NA,NA,71.09,842.10,0.04
2021-01-12 00:00:00,18.02,20.54,2.34,30.45,7.48,0.68,6.99,0.82,37.47,NA,NA,NA,NA,NA,NA,NA,82.10,0.52,232.76,NA,NA,62.68,849.33,0.07
2021-01-13 00:00:00,18.07,20.87,3.88,27.94,24.68,0.24,6.99,0.88,44.30,NA,NA,NA,NA,NA,NA,NA,75.72,0.51,218.78,NA,NA,109.64,849.69,0.05
2021-01-14 00:00:00,18.01,20.13,2.56,20.79,16.89,0.11,7.01,0.78,46.74,NA,NA,NA,NA,NA,NA,NA,82.67,0.50,205.21,NA,NA,82.05,849.48,0.09
2021-01-15 00:00:00,18.03,20.56,2.32,14.40,10.70,0.05,7.05,0.90,67.07,NA,NA,NA,NA,NA,NA,NA,77.53,0.67,181.87,NA,NA,113.73,858.67,0.05
2021-01-16 00:00:00,17.94,NA,2.30,7.10,7.40,0.08,7.00,0.97,87.92,NA,NA,NA,NA,NA,NA,NA,77.94,0.73,171.42,NA,NA,130.67,855.25,0.05
2021-01-17 00:00:00,17.97,NA,2.38,19.64,15.83,0.09,7.00,0.76,89.11,NA,NA,NA,NA,NA,NA,NA,68.60,0.62,180.40,NA,NA,142.97,866.76,0.03
2021-01-18 00:00:00,18.00,NA,2.34,17.71,15.88,0.03,7.02,0.73,91.68,NA,NA,NA,NA,NA,NA,NA,68.32,0.59,193.03,NA,NA,142.29,867.50,0.00
2021-01-19 00:00:00,17.94,NA,2.56,28.22,21.14,0.20,7.00,0.75,81.62,NA,NA,NA,NA,NA,NA,NA,68.56,0.51,196.17,NA,NA,135.08,868.42,0.03
2021-01-20 00:00:00,16.42,22.03,2.94,26.58,24.48,2.55,6.99,0.83,91.87,0.80,2.50,NA,NA,0.58,0.25,NA,71.22,0.62,181.50,NA,NA,126.93,880.74,0.03
2021-01-21 00:00:00,15.12,20.81,4.68,33.66,38.34,5.17,7.00,0.94,68.73,0.80,2.50,NA,NA,0.58,0.25,NA,69.27,0.65,167.23,NA,NA,135.16,883.55,0.01
2021-01-22 00:00:00,19.25,66.58,4.55,26.16,30.72,5.25,7.02,0.87,75.58,0.80,2.50,NA,NA,0.58,0.25,NA,69.73,0.64,180.53,NA,NA,114.73,872.53,-0.01
2021-01-23 00:00:00,26.92,92.54,3.18,25.46,28.04,5.30,6.29,0.91,82.41,0.80,2.50,NA,NA,0.58,0.25,NA,64.19,0.61,186.73,NA,NA,146.10,870.08,-0.04
2021-01-24 00:00:00,26.73,90.92,2.52,33.99,36.08,5.21,3.90,0.80,44.38,0.80,2.50,NA,NA,0.58,0.25,NA,46.07,0.62,180.17,NA,NA,183.80,920.07,-0.11
2021-01-25 00:00:00,26.43,82.40,3.25,29.47,29.67,5.45,4.34,0.94,32.58,0.63,1.98,NA,NA,0.46,0.20,NA,64.91,0.67,170.75,NA,NA,139.76,909.30,-0.04
2021-01-26 00:00:00,25.53,86.52,6.21,37.99,37.35,5.26,3.12,NA,34.59,0.00,0.00,NA,NA,NA,NA,NA,57.31,0.57,174.78,NA,NA,149.41,917.84,-0.08
2021-01-27 00:00:00,24.15,87.92,7.34,30.04,37.38,5.06,5.68,0.97,48.42,0.00,0.00,NA,NA,NA,NA,NA,57.95,0.55,186.60,NA,NA,145.40,924.38,-0.08
