Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2020-01-01 00:00:00,35.77,NA,2.56,30.47,33.01,19.31,3.40,1.26,NA,NA,NA,NA,NA,NA,NA,NA,76.11,NA,NA,NA,NA,49.40,NA,NA
2020-01-02 00:00:00,31.64,NA,3.27,32.43,35.67,20.59,3.62,1.22,NA,NA,NA,NA,NA,NA,NA,NA,72.42,NA,NA,NA,NA,76.72,NA,NA
2020-01-03 00:00:00,34.46,NA,2.81,30.91,33.71,20.31,3.28,1.20,NA,NA,NA,NA,NA,NA,NA,NA,67.03,NA,NA,NA,NA,145.06,NA,NA
2020-01-04 00:00:00,62.91,NA,4.31,37.58,41.88,21.78,3.49,1.45,NA,NA,NA,NA,NA,NA,NA,NA,63.04,NA,NA,NA,NA,132.87,998.02,NA
2020-01-05 00:00:00,54.03,NA,2.34,31.06,33.38,20.15,3.59,1.23,NA,NA,NA,NA,NA,NA,NA,NA,66.66,NA,NA,NA,NA,126.53,997.87,NA
2020-01-06 00:00:00,32.40,NA,2.86,29.47,32.31,20.04,2.66,1.16,NA,NA,NA,NA,NA,NA,NA,NA,72.51,NA,NA,NA,NA,40.02,NA,NA
2020-01-07 00:00:00,29.77,NA,3.11,31.08,34.18,20.16,3.50,1.16,NA,NA,NA,NA,NA,NA,NA,NA,66.69,NA,NA,NA,NA,123.36,1000.00,NA
2020-01-08 00:00:00,38.78,NA,2.44,33.10,35.53,19.67,3.08,1.21,NA,NA,NA,NA,NA,NA,NA,NA,61.48,NA,NA,NA,NA,162.71,997.60,NA
2020-01-09 00:00:00,50.55,NA,3.37,39.81,43.16,20.33,3.75,1.33,NA,NA,NA,NA,NA,NA,NA,NA,59.92,NA,NA,NA,NA,144.77,998.40,NA
2020-01-10 00:00:00,43.37,NA,2.53,35.88,38.35,18.93,3.63,1.07,NA,NA,NA,NA,NA,NA,NA,NA,54.24,NA,NA,NA,NA,164.18,996.54,NA
2020-01-11 00:00:00,38.18,NA,2.32,33.11,35.32,17.74,3.48,0.93,NA,NA,NA,NA,NA,NA,NA,NA,56.33,NA,NA,NA,NA,175.32,996.47,NA
2020-01-12 00:00:00,46.19,NA,3.92,39.86,43.47,18.68,3.44,1.11,NA,NA,NA,NA,NA,NA,NA,NA,63.58,NA,NA,NA,NA,148.48,998.60,NA
2020-01-13 00:00:00,59.19,NA,5.06,42.14,47.10,20.10,3.70,1.48,NA,NA,NA,NA,NA,NA,NA,NA,61.39,NA,NA,NA,NA,137.26,997.08,NA
2020-01-14 00:00:00,66.91,NA,3.02,41.13,43.91,19.46,3.90,1.38,NA,NA,NA,NA,NA,NA,NA,NA,54.89,NA,NA,NA,NA,150.51,995.12,NA
2020-01-15 00:00:00,47.66,NA,2.15,34.42,36.46,17.59,3.58,1.06,NA,NA,NA,NA,NA,NA,NA,NA,50.60,NA,NA,NA,NA,175.96,994.62,NA
2020-01-16 00:00:00,48.96,NA,2.87,41.12,43.88,18.36,3.36,1.26,NA,NA,NA,NA,NA,NA,NA,NA,56.14,NA,NA,NA,NA,152.53,995.95,NA
2020-01-17 00:00:00,45.89,NA,3.96,43.16,47.08,19.08,3.40,1.25,NA,NA,NA,NA,NA,NA,NA,NA,54.40,NA,NA,NA,NA,160.99,994.24,NA
2020-01-18 00:00:00,33.06,NA,2.53,30.15,32.59,17.96,3.75,1.00,NA,NA,NA,NA,NA,NA,NA,NA,71.54,NA,NA,NA,NA,122.29,NA,NA
2020-01-19 00:00:00,26.46,NA,2.42,27.67,29.99,18.07,3.42,0.96,NA,NA,NA,NA,NA,NA,NA,NA,62.84,NA,NA,NA,NA,135.31,999.63,NA
2020-01-20 00:00:00,41.12,NA,2.95,34.38,37.27,19.79,3.76,1.09,NA,NA,NA,NA,NA,NA,NA,NA,57.20,NA,NA,NA,NA,165.24,996.22,NA
2020-01-21 00:00:00,40.78,NA,2.31,32.40,34.64,17.96,3.23,0.93,NA,NA,NA,NA,NA,NA,NA,NA,45.83,NA,NA,NA,NA,169.74,994.38,NA
2020-01-22 00:00:00,37.12,NA,2.49,33.61,36.04,18.01,3.52,1.09,NA,NA,NA,NA,NA,NA,NA,NA,60.84,NA,NA,NA,NA,165.79,998.53,NA
2020-01-23 00:00:00,39.69,NA,2.37,30.82,33.12,17.85,2.87,0.97,NA,NA,NA,NA,NA,NA,NA,NA,59.76,NA,NA,NA,NA,171.45,998.13,NA
